,"On average, how many times a year do you take part in providing training?"
0,5.0
1,
2,3.0
3,3.0
4,6.0
5,4.0
6,5.0
7,4.0
8,1.0
9,12.0
10,
11,1.0
12,
13,3.0
14,1.0
15,
16,
17,5.0
18,
19,10.0
20,
21,
22,
23,1.0
24,
25,0.0
26,4.0
27,2.0
28,
29,3.0
30,2.0
31,3.0
32,1.0
33,12.0
34,
35,50.0
36,10.0
37,
38,
39,0.25
40,
41,1250.0
42,
43,
44,2.0
45,
46,
47,5.0
48,2.0
49,2.0
50,1.0
51,3.0
52,6.0
53,4.0
54,
55,1.0
56,1.0
57,
58,2.0
59,2.0
60,2.0
61,2.0
62,4.0
63,10.0
64,3.0
65,
66,3.0
67,
68,4.0
69,
70,2.0
71,
72,2.0
73,4.0
74,
75,
76,
77,
78,1.0
79,0.0
80,
81,4.0
82,
83,
84,5.0
85,0.0
86,
87,3.0
88,0.0
89,
90,8.0
91,20.0
92,1000.0
93,1.0
94,
95,
96,
97,10.0
98,3.0
99,3.0
